"";"CTR1_24h";"CTR2_24h";"CTR3_24h";"CTR4_24h";"EV1_24h";"EV2_24h";"EV3_24h";"EV4_24h"
"ENSG00000274441";0;0;0;0;0;0;0;0
"ENSG00000250155|SLC1A3-AS1";0;0;0;0;0;0;0;0
"ENSG00000145604|SKP2";4194;3580;3511;2994;3004;2964;2465;2907
"ENSG00000152620|NADK2";1671;1818;1852;1404;1864;2175;1567;2028
"ENSG00000245711|NADK2-AS1";0;0;0;0;0;0;0;0
"ENSG00000201223|RNU6-1305P";1;4;3;0;3;1;2;2
"ENSG00000251880|RNU7-75P";0;0;0;0;0;0;0;0
"ENSG00000270558";33;44;31;12;32;19;38;19
"ENSG00000113569|NUP155";6973;4350;4067;3755;3328;2749;2632;2962
"ENSG00000285967|NIPBL-DT";928;948;842;782;813;780;674;714
"ENSG00000164190|NIPBL";2314;1974;1830;1944;2056;1998;1652;2414
"ENSG00000244073|RPS4XP6";3;0;2;0;0;0;0;0
"ENSG00000197603|CPLANE1";3846;3860;3710;3597;3714;3251;2945;3625
"ENSG00000271378|RBISP2";0;0;0;0;0;0;0;0
"ENSG00000228212|OFD1P17";0;0;0;0;0;0;0;0
"ENSG00000286193|CPLANE1-AS1";0;10;1;7;16;0;0;11
"ENSG00000272103";5;8;5;14;8;4;0;0
"ENSG00000249850|KRT18P31";59;11;32;21;14;13;11;13
"ENSG00000242493|RN7SL37P";3;4;8;8;4;2;0;1
"ENSG00000248216|KCTD9P5";0;0;0;0;0;0;0;0
"ENSG00000222743|RNU6-1190P";0;0;0;0;0;0;0;0
"ENSG00000206743|RNU6-484P";0;0;0;0;0;0;0;0
"ENSG00000082068|WDR70";2020;1786;1744;1492;2122;1830;1646;1865
"ENSG00000248587|GDNF-AS1";73;47;51;26;39;37;41;37
"ENSG00000168621|GDNF";196;81;91;90;129;118;76;109
"ENSG00000248539|LINC02117";0;0;0;0;0;0;0;0
"ENSG00000250032";0;0;0;0;0;0;0;0
"ENSG00000251518|LINC02110";0;0;0;0;0;0;0;0
"ENSG00000248533";0;0;0;0;0;0;0;0
"ENSG00000248461|LINC02119";0;0;0;0;0;0;0;0
"ENSG00000164318|EGFLAM";0;0;0;0;0;0;0;0
"ENSG00000248730|EGFLAM-AS4";0;0;0;0;0;0;0;0
"ENSG00000249071|EGFLAM-AS3";0;0;0;0;0;0;0;0
"ENSG00000248572|EGFLAM-AS2";0;0;0;0;0;0;0;0
"ENSG00000249491|EGFLAM-AS1";0;0;0;0;0;0;0;0
"ENSG00000248234";0;0;0;0;0;0;0;0
"ENSG00000251257";22;7;7;0;3;10;8;18
"ENSG00000251189";0;0;0;0;0;0;0;0
"ENSG00000249740|OSMR-DT";29;21;44;29;12;34;21;21
"ENSG00000248577";0;0;0;0;0;0;0;0
"ENSG00000250629";0;0;0;0;0;0;0;0
"ENSG00000113594|LIFR";1297;1044;1054;896;1008;1010;1130;1154
"ENSG00000244968|LIFR-AS1";15;13;10;5;21;26;0;11
"ENSG00000265304|MIR3650";0;0;0;0;0;0;0;0
"ENSG00000289196";4;15;2;5;4;11;6;12
"ENSG00000082074|FYB1";0;0;0;6;0;0;0;4
"ENSG00000251215|GOLGA5P1";0;0;0;0;0;0;0;0
"ENSG00000145623|OSMR";2896;2857;2442;2586;2602;2645;2362;3009
"ENSG00000164327|RICTOR";4809;4725;4434;4015;4750;4371;3624;4879
"ENSG00000249089|AIG1P1";0;0;0;0;0;0;0;0
"ENSG00000271334|LINC02104";23;10;14;18;3;7;0;9
"ENSG00000250492|INTS6P1";0;0;0;0;0;0;0;3
"ENSG00000113600|C9";0;0;3;3;0;2;0;0
"ENSG00000289699";0;0;0;1;0;1;1;0
"ENSG00000153071|DAB2";11776;12997;11664;11447;11909;12586;10731;13792
"ENSG00000113638|TTC33";1325;1235;1322;1142;1372;1505;1175;1484
"ENSG00000199552|SNORA63";0;0;0;0;0;0;0;0
"ENSG00000171522|PTGER4";288;255;268;254;265;235;210;256
"ENSG00000289540";6;8;5;5;0;4;4;6
"ENSG00000132356|PRKAA1";11014;9859;9609;8465;9352;9056;7821;8720
"ENSG00000212567";3;2;0;3;2;0;0;0
"ENSG00000288911";13;6;8;21;13;8;13;23
"ENSG00000145592|RPL37";12318;13351;11523;9998;14600;16651;12989;16583
"ENSG00000212296|SNORD72";13;10;6;10;7;6;3;1
"ENSG00000132357|CARD6";893;935;874;712;1061;1124;1020;1152
"ENSG00000182836|PLCXD3";1574;834;849;770;602;492;483;456
"ENSG00000083720|OXCT1";4150;3578;3514;2895;2660;2361;2309;2537
"ENSG00000286164";0;0;0;0;0;0;0;0
"ENSG00000248668|OXCT1-AS1";21;11;12;37;12;14;0;20
"ENSG00000205765|RIMOC1";1827;1944;1657;1757;1627;1761;1630;1842
"ENSG00000151876|FBXO4";552;506;583;455;517;595;447;681
"ENSG00000112964|GHR";335;304;225;287;323;380;324;490
"ENSG00000248873|SERBP1P6";0;0;7;0;0;0;0;0
"ENSG00000250860";0;0;0;0;0;0;0;0
"ENSG00000250722|SELENOP";1101;1627;1649;1443;3082;3833;2941;4160
"ENSG00000286271";0;0;0;4;0;0;0;0
"ENSG00000249092|PPIAP77";0;0;0;0;0;2;0;0
"ENSG00000251163|PRELID3BP4";0;0;3;0;0;0;0;0
"ENSG00000251656|PRELID3BP5";0;0;0;0;0;0;0;0
"ENSG00000249516|PRELID3BP6";0;0;0;0;0;0;0;0
"ENSG00000198865|CCDC152";830;730;738;616;668;795;619;862
"ENSG00000272234";2;4;2;4;4;1;1;2
"ENSG00000177453|NIM1K";31;42;41;15;38;70;34;24
"ENSG00000249888";0;0;0;0;0;1;0;0
"ENSG00000247763|TUBAP14";0;0;0;0;0;0;0;0
"ENSG00000249779";0;0;0;0;0;0;0;0
"ENSG00000287263";372;358;245;307;397;395;313;369
"ENSG00000286656";9;37;8;33;33;23;34;36
"ENSG00000177738|ANXA2R-OT1";186;151;153;130;98;80;110;123
"ENSG00000251131";0;14;3;4;6;6;5;7
"ENSG00000272382";13;0;0;0;4;2;0;2
"ENSG00000215068|ANXA2R-AS1";149;291;186;246;259;288;165;275
"ENSG00000172262|ZNF131";2115;1810;1887;1616;1875;1805;1490;1897
"ENSG00000278487";0;0;0;0;0;0;0;0
"ENSG00000289206";10;6;7;7;3;13;12;17
"ENSG00000271788";2;7;6;5;3;2;1;3
"ENSG00000177721|ANXA2R";51;24;39;23;28;24;26;35
"ENSG00000272144";4;9;0;2;5;4;22;4
"ENSG00000151882|CCL28";60;34;63;34;34;54;41;38
"ENSG00000112972|HMGCS1";1297;1784;1501;1241;973;948;842;1084
"ENSG00000261604";2;3;3;0;0;2;1;0
"ENSG00000151881|TMEM267";1004;984;1140;1085;1074;1311;908;1146
"ENSG00000249492";54;43;33;16;50;19;25;23
"ENSG00000172244|C5orf34";765;418;448;331;219;195;209;155
"ENSG00000248554|C5orf34-AS1";4;9;0;0;0;0;0;5
"ENSG00000248240";7;6;0;0;6;4;2;0
"ENSG00000249855|EEF1A1P19";316;261;238;203;270;315;263;322
"ENSG00000172239|PAIP1";5060;5882;4967;4854;5240;5619;5159;6305
"ENSG00000248092|NNT-AS1";1004;729;772;621;857;1008;769;1020
"ENSG00000112992|NNT";6468;6294;5535;5207;5458;5481;4635;5487
"ENSG00000224993|RPL29P12";0;0;0;2;0;0;1;1
"ENSG00000279557";7;2;16;17;9;2;3;6
"ENSG00000249286|AMD1P3";0;0;0;0;0;0;6;0
"ENSG00000251141|MRPS30-DT";111;331;290;306;294;388;234;348
"ENSG00000248779";0;0;0;0;0;0;0;0
"ENSG00000112996|MRPS30";4013;5283;4879;3868;4521;5374;4230;5311
"ENSG00000272335";271;411;401;353;410;517;349;470
"ENSG00000250422";0;0;3;0;0;0;0;0
"ENSG00000250017";0;0;0;0;0;0;0;0
"ENSG00000164588|HCN1";4118;7455;6423;5713;6027;6860;5367;6987
"ENSG00000170571|EMB";281;153;159;176;212;153;172;198
"ENSG00000271752";0;0;0;0;0;0;9;3
"ENSG00000259663|ISL1-DT";0;0;4;0;0;5;0;0
"ENSG00000151883|PARP8";497;537;418;384;409;545;360;519
"ENSG00000289056";15;7;4;5;4;7;12;15
"ENSG00000285831";35;15;17;6;8;23;12;0
"ENSG00000248898|PELO-AS1";5;19;7;8;11;9;12;0
"ENSG00000288539";0;0;0;0;0;0;0;0
"ENSG00000213949|ITGA1";10734;16222;13896;12421;14095;16621;12158;17018
"ENSG00000249899|ITGA2-AS1";0;0;0;0;0;0;0;0
"ENSG00000164171|ITGA2";7958;6743;6325;5348;8927;8159;8644;8555
"ENSG00000286048";0;0;0;0;0;0;0;0
"ENSG00000164172|MOCS2";4362;4206;3945;3433;3799;4219;3364;4187
"ENSG00000247796|MOCS2-DT";243;202;196;155;248;307;234;336
"ENSG00000152684|PELO";2972;3209;3017;2451;2443;2724;2410;2651
"ENSG00000251237|B3GNTL1P1";0;2;0;1;7;5;0;3
"ENSG00000241809|RPL17P21";1;1;1;1;1;1;1;1
"ENSG00000272123";7;3;4;0;7;2;4;1
"ENSG00000164258|NDUFS4";2098;2225;1867;1638;2079;2315;1812;2251
"ENSG00000134363|FST";54952;41861;41728;37575;39922;37235;33913;41457
"ENSG00000272416";4;3;0;0;2;13;3;2
"ENSG00000169271|HSPB3";189;389;306;291;277;242;212;204
"ENSG00000185305|ARL15";534;658;475;524;699;618;563;734
"ENSG00000287087";0;0;0;0;0;0;0;0
"ENSG00000222960|RNU6-272P";0;2;0;0;0;0;0;0
"ENSG00000207627|MIR581";0;0;3;0;4;0;0;2
"ENSG00000265421";1;0;0;0;0;1;1;2
"ENSG00000279638";0;2;1;2;1;4;0;0
"ENSG00000241230|RN7SL801P";0;4;3;0;0;0;3;0
"ENSG00000288957";0;2;6;7;0;3;8;10
"ENSG00000178996|SNX18";7054;8904;8228;7222;7259;8327;6960;8797
"ENSG00000280159";3;0;2;0;8;7;12;0
"ENSG00000287367";0;0;0;3;15;5;8;0
"ENSG00000226810";0;0;0;0;0;0;0;0
"ENSG00000232517|CSPG4BP";38;27;31;24;43;62;54;73
"ENSG00000164283|ESM1";2660;626;569;562;469;298;331;363
"ENSG00000240535";0;0;0;0;0;0;0;3
"ENSG00000113088|GZMK";0;0;0;0;0;0;0;0
"ENSG00000207229|Y_RNA";0;0;0;0;0;0;0;0
"ENSG00000164287|CDC20B";3;0;7;0;0;0;0;0
"ENSG00000198983|MIR449A";0;0;0;0;0;0;0;0
"ENSG00000207728|MIR449B";0;0;0;0;0;0;0;0
"ENSG00000251856|MIR449C";0;0;0;0;0;0;0;0
"ENSG00000164294|GPX8";18603;18624;18349;15426;18664;19679;15731;19744
"ENSG00000251307|CCNO-DT";0;0;0;0;0;0;0;0
"ENSG00000039123|MTREX";5230;4614;4269;4015;4358;4713;3759;4953
"ENSG00000271410";0;0;0;0;0;0;0;0
"ENSG00000067113|PLPP1";1018;1470;1132;1064;2242;2543;1986;2892
"ENSG00000279883";0;0;0;0;0;0;0;0
"ENSG00000265135|MIR5687";0;1;0;0;0;2;0;0
"ENSG00000067248|DHX29";6331;5928;5244;4651;4757;4889;4106;5164
"ENSG00000250853|RNF138P1";12;9;0;3;19;7;0;1
"ENSG00000164509|IL31RA";0;0;0;0;0;12;10;0
"ENSG00000177058|SLC38A9";855;964;877;895;862;983;746;1013
"ENSG00000152670|DDX4";0;0;0;0;0;0;0;0
"ENSG00000251368";0;0;0;0;0;0;0;0
"ENSG00000199322|RNA5SP183";0;0;0;0;0;0;0;0
"ENSG00000226221|RPL26P19";85;108;80;80;114;136;97;156
"ENSG00000248727|LINC01948";14;30;48;61;27;34;41;16
"ENSG00000237705";0;0;0;0;0;0;0;0
"ENSG00000095015|MAP3K1";1417;1535;1390;1128;1162;1221;1107;1402
"ENSG00000225230";0;0;0;0;0;0;0;0
"ENSG00000155542|SETD9";220;283;184;205;215;153;211;229
"ENSG00000235635";0;0;0;0;0;0;0;0
"ENSG00000155545|MIER3";2305;2134;2123;1970;2282;2378;2153;2296
"ENSG00000271828";15;6;0;5;3;0;3;0
"ENSG00000062194|GPBP1";5742;5410;4927;4279;5753;5459;4810;6061
"ENSG00000134352|IL6ST";74750;80988;77039;69204;86865;89376;76215;95408
"ENSG00000249236";0;3;0;0;0;0;0;0
"ENSG00000227908|IL6ST-DT";4;8;12;3;0;6;5;9
"ENSG00000238326";0;0;0;0;0;0;0;0
"ENSG00000164512|ANKRD55";0;0;0;0;6;0;0;3
"ENSG00000223003|RNA5SP184";0;0;0;0;0;0;0;0
"ENSG00000262211";2;2;1;1;3;3;2;1
"ENSG00000264281";244;240;165;166;231;288;231;274
"ENSG00000253032|RNU6-299P";0;2;1;0;0;0;0;0
"ENSG00000243592|RPL17P22";0;0;0;0;0;3;9;5
"ENSG00000251435|C1GALT1P2";0;5;0;3;0;0;0;8
"ENSG00000250961|RMEL3";4;4;0;0;15;27;24;4
"ENSG00000250308|SALL4P1";0;0;0;0;0;0;0;0
"ENSG00000169067|ACTBL2";0;0;0;0;0;0;0;0
"ENSG00000175857|GAPT";0;0;0;0;0;0;0;4
"ENSG00000145632|PLK2";10012;12114;11127;9617;9700;10168;8402;10205
"ENSG00000035499|DEPDC1B";818;463;346;370;213;102;164;132
"ENSG00000251303|CAB39P1";0;0;0;0;0;0;0;0
"ENSG00000287434";0;0;0;4;0;0;0;0
"ENSG00000164181|ELOVL7";4;6;0;0;4;0;0;0
"ENSG00000113448|PDE4D";682;346;397;325;580;434;363;360
"ENSG00000247345";0;0;0;0;0;0;0;0
"ENSG00000276214";0;0;0;0;0;0;0;0
"ENSG00000251306|NDUFB4P2";0;0;0;0;0;0;0;0
"ENSG00000202601|MIR582";0;0;0;0;0;0;0;0
"ENSG00000248935";0;0;0;0;0;0;0;0
"ENSG00000202017|RNU6-806P";0;0;0;0;0;0;0;0
"ENSG00000213896|RPL31P8";0;0;0;0;0;0;0;0
"ENSG00000214244|SETP21";0;1;0;0;0;0;0;0
"ENSG00000273701";0;0;0;0;0;0;0;0
"ENSG00000152931|PART1";0;0;0;0;0;0;0;0
"ENSG00000275634";0;0;0;0;0;0;0;0
"ENSG00000276233";0;0;0;0;0;0;0;0
"ENSG00000288936";0;0;0;0;0;0;0;0
"ENSG00000049167|ERCC8";1393;1718;1445;1187;1346;1449;1205;1538
"ENSG00000233847|ERCC8-AS1";0;0;0;0;0;0;0;0
"ENSG00000279985";0;0;0;0;0;0;0;0
"ENSG00000249279|LINC02057";66;80;86;89;69;39;51;38
"ENSG00000215032|GNL3LP1";4;20;2;7;40;17;8;2
"ENSG00000164182|NDUFAF2";658;632;665;566;621;496;414;579
"ENSG00000276945";6;6;4;9;2;0;0;3
"ENSG00000188725|SMIM15";3434;3505;2933;2754;3000;3290;2757;3234
"ENSG00000251279|SMIM15-AS1";38;61;26;34;41;44;43;37
"ENSG00000213891|RPL3P6";0;0;0;0;0;0;0;0
"ENSG00000130449|ZSWIM6";649;574;471;511;482;508;440;649
"ENSG00000251682";25;23;24;23;3;17;6;5
"ENSG00000250461";17;11;16;23;14;18;3;6
"ENSG00000217416|ISCA1P1";7;21;21;17;19;14;8;11
"ENSG00000068796|KIF2A";4909;4320;3926;3356;3606;3369;3109;3822
"ENSG00000288643";0;0;0;0;0;0;0;0
"ENSG00000086189|DIMT1";1999;2264;1889;1663;1472;1763;1240;1606
"ENSG00000086200|IPO11";2208;1750;1889;1654;1515;1515;1192;1603
"ENSG00000199279|RNU6-661P";0;1;0;5;0;0;3;1
"ENSG00000241991";0;0;0;0;0;0;0;0
"ENSG00000240436|RPL35AP14";0;0;0;0;0;0;0;0
"ENSG00000186105|LRRC70";13;16;5;0;7;15;17;10
"ENSG00000268942|CKS1BP3";14;8;8;7;7;3;4;2
"ENSG00000164197|RNF180";24;68;49;39;74;94;51;67
"ENSG00000145642|SHISAL2B";0;0;0;0;0;0;0;0
"ENSG00000153015|CWC27";1336;1230;1092;899;1068;968;868;963
"ENSG00000153006|SREK1IP1";1505;1325;1065;1090;957;1059;984;1117
"ENSG00000250081";19;0;0;0;8;0;11;0
"ENSG00000248288";0;0;0;0;0;0;0;0
"ENSG00000205644";0;0;0;0;0;0;0;0
"ENSG00000049192|ADAMTS6";1833;1375;1209;1191;1330;1193;1115;1284
"ENSG00000250732|RPEP1";12;0;5;9;0;3;0;0
"ENSG00000123219|CENPK";2104;1018;1212;1120;541;351;445;494
"ENSG00000113593|PPWD1";2128;1955;1946;1718;2047;2131;1649;2073
"ENSG00000113595|TRIM23";2214;2341;2344;1863;2563;2548;2056;2259
"ENSG00000123213|NLN";2234;2183;1930;1788;1431;1283;1190;1373
"ENSG00000207352|RNU6-540P";2;7;0;3;1;2;1;0
"ENSG00000113597|TRAPPC13";1659;1678;1452;1295;1503;1596;1344;1572
"ENSG00000253251|SHLD3";143;138;149;83;115;10;111;139
"ENSG00000197860|SGTB";4151;4111;3941;3440;3095;2892;2438;2781
"ENSG00000251648";0;0;3;3;0;0;0;0
"ENSG00000112851|ERBIN";22476;20651;19862;17961;17619;16257;14170;17563
"ENSG00000252904";0;0;0;0;0;0;0;0
"ENSG00000269961|ERBIN-DT";2;8;13;8;24;12;6;24
"ENSG00000286314";62;25;20;37;18;8;5;8
"ENSG00000285999";71;109;55;45;70;56;27;62
"ENSG00000153914|SREK1";4842;4648;3879;3727;4465;3881;3103;3860
"ENSG00000253744";0;0;0;0;0;0;0;0
"ENSG00000134061|CD180";0;0;0;0;0;0;0;0
"ENSG00000069020|MAST4";670;596;455;554;588;645;508;603
"ENSG00000248803";0;0;0;0;0;0;0;0
"ENSG00000249057|MAST4-IT1";0;0;0;0;0;0;0;0
"ENSG00000229666|MAST4-AS1";11;24;14;12;15;0;8;26
"ENSG00000249364|LINC02997";0;0;3;0;7;4;4;0
"ENSG00000250978";0;2;0;0;0;7;5;0
"ENSG00000239870|RPL21P55";0;0;0;0;0;0;0;0
"ENSG00000249736|LINC02242";0;0;0;0;0;0;0;0
"ENSG00000249238|BCL9P1";0;0;0;0;0;0;0;0
"ENSG00000250669";0;0;0;0;0;0;0;0
"ENSG00000249721";0;0;0;0;0;0;0;0
"ENSG00000250421";0;0;0;0;0;0;0;0
"ENSG00000249894";0;0;0;0;0;0;0;0
"ENSG00000273860";0;0;0;0;0;0;0;0
"ENSG00000145675|PIK3R1";2390;2227;2062;1780;2061;2043;1681;2179
"ENSG00000248359";0;0;0;0;0;0;0;0
"ENSG00000249588";0;0;0;0;0;0;0;0
"ENSG00000250237";0;0;0;0;0;0;0;0
"ENSG00000145740|SLC30A5";6160;6661;6024;5332;6045;6289;5366;6631
"ENSG00000220986";0;0;0;0;0;0;0;0
"ENSG00000280894|SNORA50D";0;0;0;0;0;0;0;0
"ENSG00000248664";16;5;2;7;22;15;8;2
"ENSG00000134057|CCNB1";10687;5524;5775;5470;2899;1499;2237;2039
"ENSG00000153044|CENPH";1398;899;849;694;483;304;355;407
"ENSG00000280187";137;127;92;107;84;130;112;96
"ENSG00000134056|MRPS36";1153;1129;1225;1126;955;1100;1007;1205
"ENSG00000215006|CHCHD2P2";0;1;2;0;0;0;0;0
"ENSG00000183323|CCDC125";328;390;304;308;446;433;365;447
"ENSG00000213830|CFL1P5";0;6;5;14;7;9;6;0
"ENSG00000134058|CDK7";3358;4571;3924;3546;3325;3616;2991;3810
"ENSG00000152939|MARVELD2";197;220;209;116;204;197;165;191
"ENSG00000249295";0;0;0;0;0;0;0;0
"ENSG00000266477|RN7SL616P";0;0;0;0;0;0;0;0
"ENSG00000197822|OCLN";12;11;13;12;22;37;22;15
"ENSG00000212260|RNU6-724P";0;0;0;0;0;0;0;0
"ENSG00000273841|TAF9";2890;2897;2544;2517;2455;2373;1771;2358
"ENSG00000152942|RAD17";2272;2136;2121;1760;2078;2014;1679;2096
"ENSG00000085231|AK6";1372;1198;1129;963;844;917;749;870
"ENSG00000290556";12;6;5;4;6;2;4;11
"ENSG00000248477|NAIPP3";1;2;4;2;1;4;3;0
"ENSG00000183474|GTF2H2C";1325;1295;1219;1069;1056;983;826;1092
"ENSG00000253536";0;0;0;0;0;0;0;0
"ENSG00000145734|BDP1";5108;4602;4311;4002;3835;3747;3042;3765
"ENSG00000247911|HMGN1P12";0;0;0;0;0;0;0;0
"ENSG00000131844|MCCC2";1690;1553;1457;1325;1365;1512;1169;1343
"ENSG00000250138";0;0;0;1;0;0;0;1
"ENSG00000248769";0;0;0;0;0;0;0;0
"ENSG00000249230|CDH12P2";0;0;0;0;0;0;0;0
"ENSG00000205571|SMN2";1379;1373;1229;1069;1135;1234;999;1183
"ENSG00000253492|CDH12P3";0;0;0;0;0;0;0;0
"ENSG00000250687|NAIPP1";3;1;0;2;2;5;1;0
"ENSG00000254335|CDH12P1";0;0;0;0;0;0;0;0
"ENSG00000172058|SERF1A";463;502;427;352;533;455;441;510
"ENSG00000172062|SMN1";1409;1434;1235;1067;1102;1231;1008;1187
"ENSG00000249437|NAIP";242;280;217;202;283;265;220;301
"ENSG00000145736|GTF2H2";898;892;761;688;682;617;542;610
"ENSG00000253900|CDH12P4";0;0;0;0;0;0;0;0
"ENSG00000290560";75;91;55;75;69;90;64;73
"ENSG00000253203|GUSBP3";22;29;20;13;28;29;26;37
"ENSG00000198237|GUSBP13";111;135;92;75;128;159;113;147
"ENSG00000251158";2;2;2;6;0;2;3;0
"ENSG00000205572|SERF1B";472;524;463;376;555;482;450;518
"ENSG00000285151";1;0;0;0;0;0;3;0
"ENSG00000179978|NAIPP2";182;205;211;170;239;208;183;231
"ENSG00000254701";201;259;216;225;301;276;225;270
"ENSG00000253816|GUSBP14";237;243;195;224;297;276;226;265
"ENSG00000226259|GTF2H2B";60;19;39;65;70;61;126;43
"ENSG00000291220";603;649;516;463;436;411;312;450
"ENSG00000269983";102;92;83;79;68;73;46;58
"ENSG00000291221";13;15;12;4;11;2;8;12
"ENSG00000253333";23;25;15;14;21;29;21;17
"ENSG00000196302|GUSBP15";50;62;35;40;51;50;52;54
"ENSG00000253366|GUSBP16";89;105;68;64;103;149;93;126
"ENSG00000288349";1;2;1;1;0;1;1;0
"ENSG00000285204";1;0;0;0;0;0;3;0
"ENSG00000289810";57;59;64;60;59;45;36;47
"ENSG00000230847|OCLNP1";5;6;7;0;18;13;4;6
"ENSG00000251634|NAIPP4";151;133;154;129;168;149;118;162
"ENSG00000215630|GUSBP9";106;134;79;70;97;110;114;121
"ENSG00000235558|GUSBP17";64;84;49;51;67;56;80;72
"ENSG00000285804";34;49;14;14;30;37;19;41
"ENSG00000131711|MAP1B";29997;26721;23447;22996;16409;15246;13652;16137
"ENSG00000264099|MIR4803";2;5;0;4;1;0;0;1
"ENSG00000113048|MRPS27";3537;3720;3371;2879;3769;4408;3435;4014
"ENSG00000049883|PTCD2";854;881;794;765;950;729;733;909
"ENSG00000244748|RN7SL153P";5;3;6;1;0;2;0;0
"ENSG00000271926";8;3;2;1;0;4;5;1
"ENSG00000272081|FCHO2-DT";14;17;30;8;5;27;20;15
"ENSG00000157107|FCHO2";2237;2162;1858;1935;2181;2169;1714;2194
"ENSG00000248930|CHP1P1";3;0;0;0;0;0;0;0
"ENSG00000251467|CTDNEP1P2";12;12;12;0;5;6;5;3
"ENSG00000251613";3;0;0;0;0;0;0;0
"ENSG00000226544|RPL7P22";0;1;0;0;0;0;6;3
"ENSG00000223497|H2BL1P";0;0;0;0;0;0;0;0
"ENSG00000206770|Y_RNA";0;0;0;0;0;0;0;0
"ENSG00000083312|TNPO1";26941;24225;22958;20836;21740;21762;18652;21910
"ENSG00000242602|RPL35AP13";0;0;0;0;0;0;0;0
"ENSG00000249085|TNPO1-DT";0;3;0;4;0;0;0;0
"ENSG00000263593|MIR4804";1;1;0;0;0;0;1;2
"ENSG00000157111|TMEM171";342;335;263;172;225;257;155;273
"ENSG00000251493|FOXD1";1610;1487;1263;949;841;984;789;928
"ENSG00000247993|FOXD1-AS1";0;1;1;0;0;0;0;0
"ENSG00000145741|BTF3";9443;9421;8691;8227;10092;10887;8983;11464
"ENSG00000272525|BTF3-DT";12;13;17;7;4;18;11;10
"ENSG00000164338|UTP15";1915;1564;1419;1118;1142;1152;816;1072
"ENSG00000164331|ANKRA2";1062;1255;1141;1172;1588;1335;1121;1426
"ENSG00000249293";0;0;0;0;0;0;0;0
"ENSG00000184084";0;0;0;0;0;0;0;0
"ENSG00000214944|ARHGEF28";4055;2817;2785;2384;2183;1710;1562;1921
"ENSG00000238913|RNU7-196P";0;0;0;0;0;0;0;0
"ENSG00000249856";0;0;0;1;5;0;0;0
"ENSG00000196390";0;0;0;0;0;0;0;0
"ENSG00000239517";0;0;0;0;0;0;0;0
"ENSG00000289535";0;11;4;10;7;0;2;0
"ENSG00000182383|RPL27AP5";0;0;0;0;0;0;0;0
"ENSG00000249157";0;0;0;0;0;0;0;0
"ENSG00000176928|GCNT4";607;786;711;465;511;431;401;473
"ENSG00000145700|ANKRD31";22;26;11;8;10;38;14;18
"ENSG00000251663|SUMO2P5";0;0;0;0;0;0;0;0
"ENSG00000171617|ENC1";1033;599;617;469;473;380;277;346
"ENSG00000164347|GFM2";2872;2720;2546;2412;2283;2129;1733;2319
"ENSG00000198780|FAM169A";57;65;54;72;85;86;63;93
"ENSG00000250071|ARPC1AP3";0;0;0;0;0;0;0;0
"ENSG00000271714|FAM169A-AS1";0;0;0;0;0;0;0;0
"ENSG00000049860|HEXB";8489;8369;7932;6886;8399;8199;7379;9279
"ENSG00000207336|RNU6-658P";0;5;6;0;4;1;0;2
"ENSG00000164346|NSA2";3455;3651;3327;2968;3686;4142;3135;4369
"ENSG00000199645|RNU6-1330P";1;1;1;1;1;1;1;1
"ENSG00000189045|ANKDD1B";25;12;6;16;15;20;26;23
"ENSG00000152359|POC5";784;676;488;452;520;498;382;502
"ENSG00000207333|RNU6-680P";0;1;0;0;0;1;0;0
"ENSG00000247372";0;0;0;0;0;0;0;0
"ENSG00000113161|HMGCR";3036;2834;2831;2525;2033;2061;1848;2224
"ENSG00000113163|CERT1";1417;1536;1118;1222;1319;1241;1022;1276
"ENSG00000242198";0;0;0;0;0;0;0;0
"ENSG00000251724|RNU7-175P";0;0;0;0;0;0;0;0
"ENSG00000122008|POLK";3746;3697;3755;3195;3535;3318;2890;3293
"ENSG00000248881";2;1;0;0;1;0;1;0
"ENSG00000248127|SV2C-AS1";0;0;0;0;0;0;0;0
"ENSG00000122012|SV2C";0;0;0;0;0;0;0;0
"ENSG00000252833|RNA5SP186";0;0;0;0;0;0;0;0
"ENSG00000251668";1;1;0;0;0;1;0;0
"ENSG00000251107|PDCD5P2";0;0;0;0;0;0;0;0
"ENSG00000250348";0;0;0;0;0;0;0;0
"ENSG00000254893|RAP1BL";53;34;47;36;32;53;33;49
"ENSG00000249014|HMGN2P4";2;3;0;0;0;4;2;0
"ENSG00000164251|F2RL1";221;67;96;54;116;75;131;80
"ENSG00000289924";0;0;1;0;0;2;3;0
"ENSG00000145703|IQGAP2";14;14;4;3;3;18;24;8
"ENSG00000250574";0;0;0;0;0;0;0;0
"ENSG00000277188";0;0;0;0;0;0;0;0
"ENSG00000278237";0;0;0;0;0;0;0;0
"ENSG00000249713";4;0;0;0;6;0;0;0
"ENSG00000164220|F2RL2";1708;1393;1222;1266;1379;1594;1566;1945
"ENSG00000225407";0;3;2;5;2;3;0;3
"ENSG00000181104|F2R";11353;9801;9332;8917;10057;10172;9192;11285
"ENSG00000171530|TBCA";2052;1965;1812;1678;1988;1917;1622;2311
"ENSG00000213763|ACTBP2";5;3;2;0;2;1;0;0
"ENSG00000164252|AGGF1";2829;2626;2478;2027;2514;2417;2114;2905
"ENSG00000250615";0;0;0;0;0;0;0;0
"ENSG00000132846|ZBED3";30;22;43;53;23;18;23;34
"ENSG00000238961|SNORA47";0;0;0;0;1;0;0;0
